(奉俊昊, 执导, 寄生虫)
(迈克·李执导, 主演, 秘密与谎言发行的剧情片)
(秘密与谎言, 上映, 秘密与谎言发行的剧情片)
(斯科特·希克斯, 执导, 闪亮的风采)
(杰弗里·拉什|诺亚·泰勒主演的剧情片, 上映, 闪亮的风采)
(闪亮的风采, 讲述, 钢琴家大卫·赫夫考所经历的生命悲欢|与情感挣扎|1)
(钢琴家大卫·赫夫, 考, 所经历的生命悲欢|与情感挣扎|1)
(勇敢的心, 担任, 总导演)
(该剧总导演|编剧郭靖宇, 控诉, 湖南经视随意将其电视剧勇敢的心改名为勇敢的心之乱世英雄|表示将追究其法律责任)
(朗·霍华德, 执导, 阿波罗13号Apollo13美国环球影业公司发行的一部的纪实电影)
(小威廉·布罗伊勒斯|阿尔·莱纳, 编剧, 阿波罗13号Apollo13美国环球影业公司发行的一部的纪实电影)
(1970年发射|升空的阿波罗13号飞船, 发生, 爆炸事故)
(小猪宝贝, 讲述, 一只小猪)
(何流|白杨, 执导, 邮差)
(该剧, 讲述, 以邮差身份潜伏的徐仲良)
(李安, 执导, 理智与情感)
(英国, 女作家, 简·奥斯汀)
(1996年理智与情感, 获得, 最佳改编剧本奖)
(罗伯特·泽米吉斯, 执导, 阿甘正传)
(汤姆·汉克斯等|罗宾·怀特人, 主演, 阿甘正传由罗伯特·泽米吉斯执导的电影)
(美国, 作家, 温斯顿·格卢姆)
(阿甘正传IMAX版本, 开始, 在全美上映|3)
(迈克·内威尔, 执导, 四个婚礼和一个葬礼出品的爱情轻喜剧电影)
(休·格兰特|安迪·麦克道尔, 主演, 四个婚礼和一个葬礼出品的爱情轻喜剧电影)
(四个婚礼和一个葬礼, 讲述, 主人公查尔斯与女孩凯莉相识的|相恋故事)
(昆汀·塔伦蒂诺, 执导, 低俗小说)
(机智问答, 改编自, 大的电视丑闻案)
(肖申克的救赎, 改编, 自斯蒂芬·金四季奇谭中收录的同名小说)
(史蒂文·斯皮尔伯格, 执导, 辛德勒的名单)
(辛德勒的名单, 改编自, 澳大利亚小说家托马斯·肯尼利的同名小说)
(澳大利亚, 小说家, 托马斯·肯尼利)
(德国, 人, 辛德勒)
(辛德勒的名单, 获得, 第66届奥斯卡金像奖最佳影片等7个奖项|3)
(哈里森·福特等|汤米·李·琼斯雪拉·渥德朱丽安·摩尔, 担任, 亡命天涯安德鲁·戴维斯创作的|执导美国动作犯罪电影)
(亡命天涯, 上映, 亡命天涯安德鲁·戴维斯创作的|执导美国动作犯罪电影)
(亡命天涯, 改编自, 1963年电视剧版亡命天涯)
(美国环球影业, 制作, 因父之名)
(吉姆·谢执导, 主演, 因父之名)
(钢琴课, 讲述, 语言表达上有障碍的爱达背叛了丈夫斯图尔特|与邻居贝因通过一架钢琴而结缘|并最终相爱的故事)
(钢琴课, 获得, 第46届戛纳电影节金棕榈大奖|1)
(第46届, 戛纳电影节, 金棕榈)
(詹姆斯·伊沃里, 执导, 告别有情天)
(告别有情天, 讲述, 在英国的一座豪宅中女管家的基顿小姐恋上死板男管家史蒂尔|却由于史蒂尔斯的多顾虑最终使得离他而去)
(哭泣的游戏, 讲述, 弗格斯因不愿再进行恐怖活动而逃离组织|却受到共和军的|和警察双方面追捕|只能无奈地任由命运摆布的故事|1)
(好人寥寥, 讲述, 年轻的美国海军律师卡菲为两位被控犯谋杀罪的海军陆战队员洗脱罪名的|伸张正义故事|2)
(詹姆斯·伊沃里, 执导, 霍华德庄园)
(艾玛·汤普森等|安东尼·霍普金斯海伦娜·伯翰·卡特主演的剧情片, 上映, 霍华德庄园)
(霍华德庄园, 为, 背景)
(霍华德庄园, 讲述, 玛格丽特如何成为霍华德庄园的女主人|以及玛格丽特的妹妹海伦所经历的几段错综复杂的爱情故事1)
(玛格丽特, 成为, 霍华德庄园的女主人|以及玛格丽特的妹妹海伦所经历的几段错综复杂的爱情故事1)
(霍华德庄园, 获得, 第65届奥斯卡奖最佳改编剧本奖等|第46届英国电影和电视艺术学院奖最佳影片奖项|2)
(马丁·布莱斯特, 执导, 闻香识女人)
(闻香识女人, 翻拍于, 1974年迪诺·莱希的电影女人香)
(沉默的羔羊一部, 改编自, 托马斯·哈里斯同名小说的惊悚电影)
(沉默的羔羊, 讲述, 实习特工克拉丽斯为了追寻杀人的|狂野牛比尔线索前往一所监狱|访问精神病专家汉尼拔博士汉尼拔给克拉丽斯提供了一些线索最终克拉丽斯找到了野牛比尔并将其击毙)
(1992年沉默的羔羊, 获得, 第64届奥斯卡奖最佳影片|最佳男演员最佳女演员最佳导演最佳改编剧本5项奖项)
(1992年沉默的羔羊, 获得, 第49届美国金球奖剧情类最佳影片|法国凯撒奖最佳外国电影等奖项|1)
(必看经典的电影沉默的羔羊, 发布, 重映版预告片)
(必看经典的电影沉默的羔羊, 宣布, 将于7月10日在中国台湾重映)
(美女与野兽, 描绘, 一位被变成野兽的王子|与为解救父亲来到古堡的|居住姑娘贝儿他们在相处中渐生情愫|最后野兽成功解除魔法与贝儿生活在一起的故事|4)
(美女与野兽, 获得, 金球奖最佳音乐喜剧电影奖)
(巴瑞·莱文森, 执导, 豪情四海一部)
(豪情四海, 描写, 美国历史上的真实人物)
(刺杀肯尼迪, 讲述, 1963年11月22日美国第35任总统约翰·肯尼迪遇刺|身亡后警方破案等一系列过程的故事)
(美国, 第35任总统, 约翰·肯尼迪)
(1963年11月, 22日, 美国)
(刺杀肯尼迪, 获得, 奥斯卡最佳摄影等两项大奖|以及六项提名)
(潮浪王子, 讲述, 一个麻烦的男人的|和自杀妹妹精神科医生谈论他们的家族史)
(潮浪王子, 爱上, 她的故事)
(江苏艺星影视文化传播有限公司, 出品, 电视剧与狼共舞)
(约翰尼, 上, 战场)
(达尔顿·特朗勃, 执导, 无语问苍天)
(无语问苍天, 讲述, 世界大战期间在战场上年轻的强尼负重伤|求死不能变成了一个只能呼吸的物体|1)
(杰瑞·扎克, 执导, 影片人鬼情未了)
(布鲁斯·乔伊·罗宾, 担任, 影片人鬼情未了)
(弗朗西斯·福特·科波拉, 执导, 教父3)
(教父三部曲, 完, 结篇)
(教父3, 讲述, 1979年)
(第二代教父, 迈克尔·柯里昂到, 垂暮之年)
(小马奔腾, 出品, 好家伙)
(奥利弗·斯通, 执导, 生于七月四日)
(汤姆·克鲁斯|凯拉·塞吉维克主演的传记电影, 上映, 生于七月四日)
(生于七月四日, 讲述, 热血青年朗被美国总统的越战演说|激励后从军|参战在经历了真实的|而残酷战争后终于觉悟|开始高举反战大旗的故事|1)
(彼得·威尔, 执导, 死亡诗社)
(梦幻之地, 讲述, 一位爱荷华农夫)
(梦幻之地, 受, 神秘声音引导)
(格拉纳达电视台, 出品, 我的左脚)
(我的左脚, 讲述, 因小儿麻痹症而全身瘫痪的布朗依靠唯一可以活动的左脚来改变自己的人生|成为画家的|和诗人故事|1)
(达斯汀·霍夫曼|汤姆·克鲁斯瓦莱莉·高利诺迈克尔·D罗伯茨邦尼·亨特贝丝·格兰特, 主演, 雨人巴瑞·莱文森执导的一部剧情电影)
(她主动的|随和生活方式, 冲击, 作家原来封闭自己的独立小世界|和保护)
(她主动的|随和生活方式, 让, 开始放松自己)
(昆汀·塔伦蒂诺, 执导, 危险关系米拉麦克斯影业公司出品的惊悚片)
(帕姆·格里尔等|塞缪尔·杰克逊罗伯特·福斯特布里吉特·芳达人, 主演, 危险关系米拉麦克斯影业公司出品的惊悚片)
(危险关系, 改编自, 美国小说家埃尔莫尔·伦纳德的小说神奇之力)
(美国, 小说家, 埃尔莫尔·伦纳德)
(她, 保全, 自己的生命)
(上班女郎, 讲述, 某天早晨被解雇的职业女性宝熙和就差一步倒闭的成人用品公司的CEO南希一起创业的搞笑故事|2)
(末代皇帝, 讲述, 中国最后一个皇帝爱新觉罗·溥仪从当上开始到最终成为一名普通公民之间横跨60年的跌宕一生|2)
(中国, 最后一个皇帝, 爱新觉罗·溥仪)
(末代皇帝, 获得, 第60届奥斯卡金像奖最佳影片)
(收播新闻, 讲述, 新闻制作人简|与资深记者亚伦|和播报员汤姆三个人之间的恋情的故事|1)
(迈克尔·卡顿琼斯, 执导, 本能2致命诱惑)
(致命诱惑, 讲述, 世界知名的女作家凯瑟琳·戴维斯因卷入一场有预谋的谋杀案被警方调查之后所发生的故事|1)
(世界知名, 女作家, 凯瑟琳·戴维斯)
(英国哥伦比亚影业公司, 发行, 希望与荣耀)
(1987年, 发行, 希望与荣耀)
(希望与荣耀由英国哥伦比亚影业公司于1987年发行的, 看待, 战争的剧情片)
(约翰·保曼, 执导, 希望与荣耀)
(希望与荣耀, 描绘, 二战期间伦敦一个小男孩眼中的战争记忆)
(野战排, 讲述, 一名天真的新兵被编入一个步兵分队|明白了)
(毕业生萨拉·诺曼, 当, 学校的清洁工)
(她, 拒绝, 利兹提出的学习的要求)
(她, 拒绝, 利兹提出的学习的要求)
(汉娜姐妹, 讲述, 汉娜|霍莉莉这三个姐妹之间的生活以及她们等|与米基|爱略特人的感情故事|1)
(影片, 讲述, 大家闺秀露西的|和下层青年乔治爱情故事)
(大家, 闺秀, 露西的|和下层青年乔治爱情故事)
(西德尼·波拉克, 执导, 走出非洲环球影业出品的爱情片)
(走出非洲, 改编, 同名自传体小说)
(走出非洲, 讲述, 凯伦为了得到一个男爵夫人的称号而远嫁肯尼亚|后来跟英国探险家邓尼斯她产生感情的故事)
(走出非洲, 改编自, 卡伦·布里克森的)
(英国, 探险家, 邓尼斯)
(她, 产生, 感情)
(紫色, 讲述, 佐治亚洲的黑人姐妹西丽|和南蒂从小就被分开)
(海科特·巴班克, 执导, 蜘蛛女之吻)
(威廉·赫特|劳尔·朱力亚主演的剧情片, 上映, 蜘蛛女之吻)
(蜘蛛女之吻, 讲述在, 拉丁美洲的监狱里)
(革命组织, 领导人, 瓦伦丁)
(约翰·休斯顿, 执导, 普里兹家族的荣誉)
(普里兹家族的荣誉, 讲述, 一位帮派杀手与一位女杀手相爱|引发的故事)
(证人, 执导, 警匪片)
(莫扎特传, 讲述, 音乐家沃尔夫岗·阿巴迪斯·莫扎特的一生)
(纽约时报, 记者, 西德尼·山伯格)
(纽约时报, 驻战地记者, 辛尼)
(印度之行, 讲述, 英国少女阿德拉到印度探望未婚夫|得到当地医生阿齐兹的热情接待然而一次突发事件改变了两人的命运|1)
(英国, 少女, 阿德拉)
(罗伯特·本顿, 执导, 我心深处)
(莎莉·菲尔德等|丹尼·格洛弗约翰·马尔科维奇主演的一部伦理片, 上映, 我心深处)
(我心深处, 讲述, 萧条时期)
(大兵本名, 叫, 韩冰)
(韩冰, 说, 当初一起和节目推出大兵这个名字)
(韩冰, 说, 当初一起和节目推出大兵这个名字)
(和节目, 推出, 大兵这个名字)
(丽萨·阿祖洛斯, 执导, 母女情深)
(苏菲·玛索主演的喜剧片, 上映, 母女情深)
(母女情深, 讲述, 讲述了罗拉|和她的母亲安娜之间的故事|1)
(布鲁斯·贝尔斯福德, 执导, 温柔的怜悯)
(温柔的怜悯, 讲述, 著名的民谣歌手麦克因梦想受阻|而与妻子渐渐疏远)
(温柔的怜悯, 开始, 酗酒成性)
(理查德·阿滕伯勒, 执导, 甘地传)
(甘地传, 讲述, 圣雄甘地提倡非暴力政策)
(甘地传, 赢得, 贫苦人民的信任|和爱戴)
(E.T., 讲述, 小男孩艾里奥特与外星人建立了纯真友谊的故事)
(杰克·莱蒙等|茜茜·斯派塞克, 主演, 大失踪)
(大失踪, 讲述, 在南美在发生政变过程中神秘某国消失)
(杜丝, 先生, 公司)
(大审判, 执导, 保罗·纽曼等|杰克·瓦尔登参演的美国剧情电影)
( 大审判, 讲述, 酗酒成瘾的波士顿律师法兰克力的故事)
(休·赫德森, 执导, 烈火战车)
(路易·马勒, 执导, 大西洋城)
(伯特·兰卡斯特等|苏珊·萨兰登罗伯特·乔伊主演的爱情犯罪片, 上映, 大西洋城)
(大西洋城, 讲述在, 刚刚开放赌场业的大西洋城中)
(马克·雷戴尔, 执导, 金色池塘)
(金色池塘, 获得, 最佳改编剧本|最佳男主角最佳女主角三项奖项|1)
(美国, 名记者, 约翰·雷德)
(新西兰, 导演, 马丁·坎贝尔)
(越南, 华裔, 关玉明)
(美国环球影业, 出品, 矿工的女儿)
(迈克尔·艾普特, 执导, 矿工的女儿)
(矿工的女儿, 讲述, 穷困的矿工女儿洛丽塔·林恩在婚后才展开她的歌唱事业|凭借充满感情的歌声终于成为乡村歌后的故事|2)
(穷困的矿工女儿洛丽塔·林恩, 展开, 她的歌唱事业)
(davidlynch, 执导, 象人1980年由BrooksfilmsLtd发行的剧情类电影)
( 象人, 讲述, 维多利亚时代一名英国医生在马戏团发现畸形的象人|受尽人道的待遇|于将他带回医院|作研究终于使体验到人间的温暖的故事)
(维多利亚时代一名英国医生, 发现, 畸形的象人)
(联美电影公司, 发行, 愤怒的公牛)
(前世界, 中量级拳王, 杰克·拉莫塔)
(法国RennProductions公司, 出品, 苔丝)
(罗曼·波兰斯基, 执导, 苔丝)
(苔丝, 改编, 自托马斯·哈代的小说德伯家的苔丝)
(苔丝, 讲述, 美丽的贫苦少女苔丝被命运无情戏弄的曲折人生|1)
(罗伯特·本顿, 执导, 克莱默夫妇哥伦比亚影片公司与1979年出品的家庭伦理片)
(达斯汀·霍夫曼|梅丽尔·斯特里普贾斯汀·亨利, 领衔, 克莱默夫妇哥伦比亚影片公司与1979年出品的家庭伦理片)
(克莱默夫妇, 讲述, 相依为命|最后重和母亲归|与好故事)
(一个家庭, 孩子, 比利)
(克莱默夫妇, 获得, 第52届奥斯卡金像奖最佳影片等五项大奖)
(克莱默夫妇, 包括, 奥斯卡金像奖最佳摄影奖)
(鲍勃·福斯, 执导, 爵士春秋)
(罗伊·沙伊德尔主演的歌舞片, 上映, 爵士春秋)
(爵士春秋, 讲述, 一位才华横溢的百老汇资深导演的生平故事|1)
(弗朗西斯·福特·科波拉导演, 主演, 现代启示录一部以越战为背景的影片)
(1979年8月, 15日, 美国)
(美军情报, 官员, 威尔德)
(美军情报, 官员, 威尔德)
(彼得·叶茨, 执导, 告别昨日二十世纪福斯公司出品的剧情片)
(丹尼斯·克里斯托弗等|丹尼斯·奎德丹尼尔·斯特恩杰基·厄尔·哈利, 出演, 告别昨日二十世纪福斯公司出品的剧情片)
(告别昨日, 讲述, 四个高中毕业好友面对未来抉择时其中的戴维决定成为一名自行车手的故事)
(告别昨日, 获得, 第52届奥斯卡金像奖最佳原创剧本)
(诺玛·蕾, 讲述, 诺玛·蕾在棉织厂成立了第一个工会的故事)
(诺玛·蕾, 成立, 第一个工会的故事)
(环球影业|美国, 制作, 猎鹿人)
(迈克尔·西米诺, 执导,  猎鹿人)
( 猎鹿人, 为, 背景)
( 猎鹿人, 讲述, 三个过去常一起打猎的好友在战场被俘后的不同命运刻画了战争对人的肉体|和精神的双重摧残)
(猎鹿人, 获得, 1979年奥斯卡最佳影片等|最佳导演5项大奖)
(不结婚的女人, 描述, 一名少妇|吉尔·克莱布格饰)
(她, 受不住, 这个精神打击)
(她, 受不住, 这个精神打击)
(伍迪·艾伦, 执导, 安妮·霍尔联美电影公司出品的爱情喜剧片)
(安妮·霍尔, 讲述, 喜剧家艾维·辛格在经历了两次失败的婚姻后遇到了一心想成为歌星的安妮·霍尔|两人之间逐渐产生感情的故事)
(喜剧家艾维·辛格, 遇到, 一心想成为歌星的安妮·霍尔|两人之间逐渐产生感情的故事)
(安妮·霍尔, 获得, 第50届奥斯卡奖最佳电影|第50届奥斯卡奖最佳原著剧本等奖项|1)
(弗雷德·金尼曼, 执导, 茱莉亚)
(茱莉亚, 讲述, 三十年代美国女作家莉莲·海尔曼|和其挚友茱莉亚之间非同寻常的友谊)
(美国, 女作家, 莉莲·海尔曼)
(星球大战|英文|StarWars, 简称, 星战)
(美国, 导演, 乔治·卢卡斯)
(首部星球大战的人物|及故事, 参照, 越南战争)
(首部星球大战的人物|及故事, 还有, 日本导演黑泽明的战国英豪所创作)
(日本, 导演, 黑泽明)
(迪士尼, 上映, 一部星球大战电影)
(赫伯特·罗斯, 执导, 转折点)
(转折点, 讲述, 两个女性好友)
(约翰·G艾维尔森, 执导, 洛奇)
(西尔维斯特·史泰龙等|塔莉娅·夏尔主演的剧情片, 首映, 洛奇)
( 影片, 讲述, 一个寂寂的|无名拳手洛奇获得与重量级拳王阿波罗争夺拳王的故事|并获得了1976年奥斯卡最佳影片等奖项)
(一个寂寂的|无名拳手洛奇, 获得, 与重量级拳王阿波罗争夺拳王的故事)
(一个寂寂的|无名拳手洛奇, 获得, 1976年奥斯卡最佳影片等奖项)
(艾伦·J帕库拉, 执导, 总统班底)
(影片, 讲述, 华盛顿邮报的两位记者不畏强权|不受诱惑历经艰辛排除万难调查真相最终揭穿了美国当局政治黑幕的全过程|1)
(华盛顿邮报的两位记者, 不畏, 强权)
(华盛顿邮报的两位记者, 受, 诱惑)
(华盛顿邮报的两位记者, 历经, 艰辛排除万难调查真相)
(华盛顿邮报的两位记者, 揭穿, 美国当局政治黑幕的全过程|1)
(福斯公司制作的光荣何价, 为, 世界大战时期)
(西德尼·吕美特, 执导, 电视台风云)
(威廉·霍尔登|费·唐纳薇主演的剧情片, 上映, 电视台风云)
(电视台风云, 讲述, 制片人戴安娜挽留了面临失业危机的UBS主播霍华德)
(电视台风云, 获得, 第49届奥斯卡金像奖最佳原创剧本奖|2)
(出租车司机, 执导, 保罗·施拉德编剧的美国剧情片)
(出租车司机, 讲述, 发生在越战结束后的纽约)
( 出租车司机, 获得, 1976年第29届戛纳国际电影节金棕榈奖)
(飞越疯人院, 改编, 自美国作家肯·克西的同名小说)
(美国, 作家, 肯·克西)
(1976年飞越疯人院, 获得, 最佳影片等|最佳男主角最佳女主角5项奖项|1)
(斯坦利·库布里克, 执导, 巴里·林登)
(瑞安·奥尼尔|马里莎·贝伦森主演的剧情片, 上映, 巴里·林登)
(巴里·林登, 讲述, 爱尔兰青年巴里为从军旅底层走进上流社会|想方设法与贵族寡妇林登夫人|结婚开始了一场人生赌局的故事|1-2)
(爱尔兰, 青年, 巴里)
(西德尼·吕美特, 执导, 热天午后)
(阿尔·帕西诺等|约翰·凯泽尔克里斯·萨兰登主演的犯罪喜剧电影, 上映, 热天午后)
(1975年9月, 21日, 美国)
(热天午后, 讲述, 桑尼与同伴塞勒合伙抢劫银行)
(罗伯特·奥特曼, 执导, 纳什维尔)
(教父2, 派, 出品的一部黑帮片)
(教父2, 讲述, 第二代教父迈克尔·柯里昂的奋斗历程)
(影片, 回忆, 第一代教父维多·柯里昂创业的艰辛)
(影片, 回忆, 第一代教父维多·柯里昂创业的艰辛)
(第一代教父, 维多·柯里昂, 创业的艰辛)
(1975年教父2, 获得, 11项提名)
(1975年教父2, 获得,  |成为首部获得奥斯卡最佳影片的续|集电影|2)
(唐人街, 为, 背景)
(唐人街, 讲述, 被遗弃在地铁投币储物柜的女孩)
(弗朗西斯·福特·科波拉, 执导, 窃听大阴谋)
(吉恩·哈克曼, 主演, 窃听大阴谋)
(窃听大阴谋, 讲述, 专门窃听别人谈话的哈里)
(窃听大阴谋, 担心, 他窃听的一对青年男女被害|而向神父忏悔)
(火烧摩天楼, 讲述, 三藩市中心的摩天大楼因施工不良原因而失火|消防队长在大楼工程师的协助下一边救人|一边灭火几经波折终于爆破楼顶的巨型水箱将大火扑灭的故事|1)
(乔治·罗伊·希尔, 执导,  骗中骗)
( 骗中骗, 讲述, 诈骗集团小弟胡克|和好友康多尔夫一起利用骗局|为老大鲁萨报仇的故事)
(诈骗集团, 小弟, 胡克)
( 骗中骗, 获得, 第46届奥斯卡金像奖最佳影片最佳导演等|最佳剧本7项大奖)
(乔治·卢卡斯, 执导, 美国风情画)
(理查德·德莱福斯等|朗·霍华德主演的剧情喜剧片, 上映, 美国风情画)
(理查德·德莱福斯等|朗·霍华德主演的剧情喜剧片, 上映, 美国风情画)
(英格玛·伯格曼, 执导, 呼喊与细语)
(丽芙·乌曼|英格里德·图林哈里特·安德森主演的情感电影, 上映, 呼喊与细语)
(呼喊与细语, 讲述, 身患不治之症的艾格尼丝自知时日|无多她希望在临死之前让紧张的两个妹妹学会)
(她, 希望, 在临死之前让紧张的两个妹妹学会)
(她, 希望, 在临死之前让紧张的两个妹妹学会)
(驱魔人由华纳兄弟影片公司于1973年12月26日推出的一部现代恐怖电影, 改编, 自威廉·彼得·布雷迪的同名小说)
(驱魔人, 讲述, 一个小女孩被恶灵附身后她的母亲试过各种途径|来治疗小女孩但都无效|最后他的母亲只好请来为小女孩进行驱魔仪式的故事)
(她的母亲, 试, 各种途径)
(她的母亲, 治疗, 小女孩)
(弗朗西斯·福特·科波拉, 执导, 教父)
(马龙·白兰度等|阿尔·帕西诺主演的黑帮电影, 上映, 教父)
(教父, 改编, 同名小说)
(教父, 改编自, 马里奥·普佐的)
(柯里昂, 的小儿子, 迈克)
(1973年教父, 获得, 第45届奥斯卡奖最佳电影最佳男主角最佳改编剧本奖|1)
(鲍勃·福斯, 执导, 歌厅)
(丽莎·明尼里等|麦克尔·约克马里莎·贝伦森出演的剧情片, 上映, 歌厅)
(歌厅, 改编自, 百老汇歌舞剧)
(柏林歌舞, 女郎, 莎莉)
(生死狂澜, 讲述, 四名男子前往野外|漂流遭受袭击后逃生的故事)
(大移民, 讲述, 19世纪中叶)
(儿子离家时, 讲述, 一个讲述亲情|和奋斗的故事)
(威廉·弗莱德金, 执导, 法国贩毒网)
( 法国贩毒网, 讲述, 两名纽约警察通过契而不舍地追查|终于破获一宗来自法国的大规模海洛因走私案的故事)
( 发条橙, 改编自, 安东尼·伯吉斯的同名小说)
(诺曼·杰威森, 执导, 屋顶上的小提琴手一部美国音乐家庭类电影)
(托普|RosalindHarrisNevaSmallMicheleMarsh, 主演, 屋顶上的小提琴手一部美国音乐家庭类电影)
(屋顶上的小提琴手, 讲述, 沙皇专制时期俄国的一个叫安那特夫卡的小村庄中)
(彼得·博格丹诺维奇, 执导, 最后一场电影美国哥伦比亚影片公司发行的剧情片)
(杰夫·布里吉斯|斯碧尔·谢波德蒂姆斯·伯特姆斯, 出演, 最后一场电影美国哥伦比亚影片公司发行的剧情片)
(最后一场电影, 讲述, 一家电影院内三对男女从学生时代到步入社会所经历的残酷青春的故事|1)
(詹姆斯．高曼编剧的俄宫秘史, 描述, 俄国最后一位沙皇尼古拉斯二世晚年的生平故事)
(詹姆斯．高曼编剧的俄宫秘史, 开始, 描述他们全家至1918年俄国革命后被处决的经过)
(俄国, 最后一位沙皇, 尼古拉斯)
(国际机场, 讲述, 主人公贝克斯非尔德的工作|和感情故事)
(海伦娜·菲莱勒斯, 执导, 一个爱情故事)
(爱情故事, 讲述, 一位年轻妹子偶遇熟男银行家|做了后者的情妇的故事)
(罗伯特·奥特曼, 执导, 陆军野战医院)
(陆军野战医院, 讲述, 朝鲜战争期间)
(约翰·施莱辛格, 执导, 午夜牛郎)
(午夜牛郎, 讲述, 穷困的|潦倒乔如何在纽约生活|以及发生在乔|与里佐之间的故事)
(午夜牛郎, 获得, 第42届奥斯卡金像奖最佳影片|第23届英国电影学院奖最佳影片等奖项|2)
(加拿大, 女星, 珍妮薇布娇)
(编剧威廉·戈德曼, 改编, 虎豹小霸王)
(真人真事, 改编, 虎豹小霸王)
(乔治·罗伊·希尔, 执导, 虎豹小霸王)
(影片, 讲述, 布奇·卡西迪|圣丹斯小子组成的虎豹小霸王美国西部一个小镇的劫匪头目)
(伊夫·蒙当|让·路易·特兰蒂尼昂, 主演, 焦点新闻科斯塔·加华斯执导的悬疑影片)
(焦点新闻, 改编自, VassilisVassilikos创作的长篇小说Z)
(卡罗尔·里德, 执导, 雾都孤儿)
(朗·穆迪等|姗妮·沃利斯马克·莱斯特杰克·瓦尔德奥列佛·里德主演的剧情片, 上映, 雾都孤儿)
(雾都孤儿, 讲述, 孤儿奥利弗历经学徒生涯后流浪到伦敦|又被迫成为扒手历尽无数辛酸后终于查明身世|收获幸福的故事|2)
(蒋家骏|綦小卉, 执导, 乌鸦嘴妙女郎上海克顿影视出品的青春偶像喜剧)
(王传君|毛晓彤陈彦妃章龄之张瑞涵尹正, 领衔, 乌鸦嘴妙女郎上海克顿影视出品的青春偶像喜剧)
(保罗.纽曼, 执导, 巧妇怨)
( 巧妇怨, 讲述, 一个35岁的小学老师被花花公子引诱付出了真心却被拒绝的故事)
(意大利, 导演, 卡罗·卡雷)
(意大利导演卡罗·卡雷, 执导, 罗密欧与朱丽叶)
(罗密欧与朱丽叶, 改编自, 罗密欧与朱丽叶)
(黑人侦察, 专家, 提布斯)
(美国华纳家庭视频公司, 发行, 雌雄大盗)
(阿瑟·佩恩, 执导, 雌雄大盗由美国华纳家庭视频公司发行的犯罪剧情片)
(沃伦·比蒂|费·唐纳薇吉恩·哈克曼吉恩·怀尔德, 联合, 雌雄大盗由美国华纳家庭视频公司发行的犯罪剧情片)
(杜立德医生, 讲述, 一个会与动物交谈的古怪兽医杜立德医生为了寻找奇怪的动物的历险经历)
(1968年毕业生, 获得, 第25届金球奖音乐喜剧类最佳影片第40届奥斯卡奖最佳影片提名等奖项|1)
(猜猜谁来吃晚餐, 讲述, 马特的心爱的女儿乔伊交了一个黑人男友约翰的故事)
(马特, 的心爱的女儿, 乔伊)
(弗雷德·金尼曼, 执导, 日月精忠)
(保罗·斯科菲尔德|罗伯特·肖主演的英国传记片, 上映, 日月精忠)
(日月精忠, 改编, 自真实历史故事)
(日月精忠, 讲述, 十六世纪英王亨利八世见异思迁)
(十六世纪, 英王, 亨利)
(影片, 讲述, 生活在纽约的英国青年阿尔菲依靠英俊的外表|如鱼得水|在一段又一段的情感经历后获得救赎的故事|1)
(英国, 青年, 阿尔菲)
(生活在纽约的英国青年阿尔菲, 依靠, 英俊的外表)
(史蒂夫·麦奎因等|理查德·阿滕伯勒洪金宝韩英杰白鹰秦沛人, 主演, 圣保罗炮艇罗伯特·怀斯执导的剧情电影)
(圣保罗炮艇, 讲述, 发生在一艘1925年航向中国的美国炮艇上的故事)
(迈克·尼科尔斯, 执导, 灵欲春宵)
(罗伯特·怀斯, 执导, 音乐之声)
(朱莉·安德鲁斯|克里斯托弗·普卢默理查德·海顿主演的音乐片, 上映, 音乐之声)
(音乐之声, 讲述, 修女玛丽亚到特拉普上校家当家庭教师|打成一片上校也渐渐在玛利亚的引导下改变了对孩子们的态度|并与玛利亚之间产生了感情的故事|1)
(音乐之声, 获得, 第38届奥斯卡金像奖最佳影片等|最佳导演五个奖项|2)
(陈可辛, 执导, 亲爱的2014年出品的一部打拐题材电影)
(亲爱的, 首映于, 2014年9月25日18点全国公映|1-2)
(日瓦戈医生吉亚科莫·卡姆皮奥蒂, 执导, 剧情片)
(日瓦戈医生, 讲述, 沙皇时代后期医生尤瑞日瓦戈的成长经历|1)
(沙皇时代后期, 医生, 尤瑞日瓦戈)
(愚人船, 讲述, 1933年德国的纳粹势力崛起时在一艘由南美驶往柏林的大客轮上发生的荒谬的|可笑事反映出在特殊的时代氛围下的人生缩影|3)
(一千个小丑, 讲述, 12岁的小尼克|和莫瑞叔叔试图阻止儿童福利中心的社工送走小尼克的故事)
(窈窕淑女, 改编, 自萧伯纳的戏剧剧作卖花女|Pygmalion)
(窈窕淑女, 讲述, 下层阶级的卖花女被中产阶层语言学教授改造成优雅贵妇的故事)
(中产阶层语言学教授, 改造, 下层阶级的卖花女成优雅贵妇)
(窈窕淑女, 获得, 包括最佳影片奖在内奥斯卡8项大奖等|以及金球奖最佳导演奖最佳男主角奖二十余项大奖)
(PeterGlenville, 执导, 雄霸天下)
(雄霸天下, 讲述, 雄伟历史画卷上的友谊|及权力对友谊的腐蚀)
(美国, 导演, 斯坦利·库布里克)
(奇爱博士, 获得, 第37届奥斯卡金像奖四项提名)
(奇爱博士, 称, 为未来三部曲)
(美国迪士尼影业公司, 出品, 欢乐满人间)
